country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Guatemala,0.6983192094890249,-0.31780241872306647,0.15361654605466765,-0.0985208321238562,0.24219698084715954,0.6486171614508297,0.2454496115878816,1.2307562312382132,0.2930128310385556,-0.5414855114738222,-0.4092706831055279,-0.5959842112586348,1.3028729030771717,0.12102679621274418
Guinea,-1.5531926961304545,-1.8298723621204396,-1.77807978334231,-1.5415814177257792,-0.151994603583127,0.3829898095046678,0.08229752493048696,-0.4650927986264522,0.6562939361825089,0.7111758791570794,-0.8237896994070818,-0.9209139851797464,-0.41516103230901047,1.013505489540618
Guyana,0.5030276512945825,-0.5354753548028233,0.31674877039500254,-0.5553478419978732,-0.20602427226463013,0.7581902013477165,0.4417673734817176,0.53903255798384,0.4385118857143068,-0.0006504982875726431,-0.11729501024068205,-0.5165286676648345,-0.38881510242718675,-0.664758653224858
Haiti,-1.2678752695930318,-1.5625858183946553,-1.5968655680830723,-1.2357345319443584,-1.9277169792505893,1.8994041411293747,0.06366340134689309,-1.1348107422626872,0.566781782192629,-0.9963647268480516,-0.7343366119785948,-1.1547554077686826,-0.012633606994349924,1.0452051872088253
Honduras,-0.16816937700321766,-0.679996613579503,-0.03258574249452718,0.09926468307071247,-0.23884973675657753,0.5035657466123675,0.5003606157199406,1.0122287464914816,0.010432384139985358,-0.8960141480005365,-0.3242520905255137,-0.6547277831586528,2.1000380076547853,1.2802160528143818
Hong Kong,0.01939218211574545,1.3605392815938968,0.20354655865948817,1.5992538781865275,1.0941520453699956,1.3992399164097167,-2.3757787497420937,0.03839064648586222,-0.5789081955977079,0.6537861197228813,1.024787643543443,1.8190531370113576,-0.30103477771022386,-0.34288452583897305
Hungary,-0.3591672327140193,0.7187570956700291,0.694988630268265,0.47153654078105917,-1.0671557855455889,-0.9047848659434934,0.8891651652868017,-0.35452283537074075,0.03943046721731936,-1.0849375828669847,0.9673545120534139,0.638592751008044,0.12151132120991795,0.19291182210440005
Iceland,1.7554465662567,1.2309779236146883,1.4026834992234163,1.2431365420659153,1.3626459494838221,1.7662878490121527,-0.26674600061238196,1.5381238552586685,-1.2073549343710939,-0.701738601054158,1.1578991167401544,1.15057121793215,-0.8598786058550287,-1.371008358602475
India,-0.6446399142334243,-0.6629702363680239,-1.717360442493512,-0.5165634213087691,0.22101692599519532,-0.03177394128448983,0.5006358852213337,-0.21076749332471198,0.24637530382971723,1.1787811216484017,-0.24623728837032532,-0.21246146755850234,-0.16949956315345854,0.25202231795036883
Indonesia,-0.1873743167668959,-0.1007886912025827,-0.16750575184982694,-0.2815288525432379,0.12031594795758599,2.2840930010092784,1.054688431878746,1.290215775740987,-0.1071880444615196,1.2723512327404352,-0.3046258316507473,-0.42700724418098923,-0.6991177008404709,-0.44771520324727004
